,,,VectorName,Description,UserId,Ch_SlotFormat,chanCodeIndex,FrameOffset,ChipOffset,DTXposition,MaxTFCINum,numTrCh,trch_0.NumTfc,trch_0.NumTrBlks,trch_0.trBlkSizeA,trch_0.TFC,trch_0.MaxTrBkwithinTFS,trch_0.TTI_value,trch_0.CRC_length,trch_0.Encoder,trch_0.RM_attribute,trch_1.NumTfc,trch_1.NumTrBlks,trch_1.trBlkSizeA,trch_1.TFC,trch_1.MaxTrBkwithinTFS,trch_1.TTI_value,trch_1.CRC_length,trch_1.Encoder,trch_1.RM_attribute,trch_2.NumTfc,trch_2.NumTrBlks,trch_2.trBlkSizeA,trch_2.TFC,trch_2.MaxTrBkwithinTFS,trch_2.TTI_value,trch_2.CRC_length,trch_2.Encoder,trch_2.RM_attribute,trch_3.NumTfc,trch_3.NumTrBlks,trch_3.trBlkSizeA,trch_3.TFC,trch_3.MaxTrBkwithinTFS,trch_3.TTI_value,trch_3.CRC_length,trch_3.Encoder,trch_3.RM_attribute,trch_4.NumTfc,trch_4.NumTrBlks,trch_4.trBlkSizeA,trch_4.TFC,trch_4.MaxTrBkwithinTFS,trch_4.TTI_value,trch_4.CRC_length,trch_4.Encoder,trch_4.RM_attribute,trch_5.NumTfc,trch_5.NumTrBlks,trch_5.trBlkSizeA,trch_5.TFC,trch_5.MaxTrBkwithinTFS,trch_5.TTI_value,trch_5.CRC_length,trch_5.Encoder,trch_5.RM_attribute
1,3G_test_multichan_1,8x(DL3.4kbps SRBs),3G_test_multichan_1,8x(DL3.4kbps SRBs),0,4,8,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,3G_test_multichan_1,8x(DL3.4kbps SRBs),1,4,9,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,3G_test_multichan_1,8x(DL3.4kbps SRBs),2,4,10,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,3G_test_multichan_1,8x(DL3.4kbps SRBs),3,4,11,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,3G_test_multichan_1,8x(DL3.4kbps SRBs),4,4,12,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,3G_test_multichan_1,8x(DL3.4kbps SRBs),5,4,13,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,3G_test_multichan_1,8x(DL3.4kbps SRBs),6,4,14,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,3G_test_multichan_1,8x(DL3.4kbps SRBs),7,4,15,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3G_test_multichan_2,32x(DL3.4kbps SRBs),3G_test_multichan_2,32x(DL3.4kbps SRBs),0,4,8,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),1,4,9,0,256,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),2,4,10,0,512,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),3,4,11,0,768,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),4,4,12,0,1024,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),5,4,13,0,1280,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),6,4,14,0,1536,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),7,4,15,0,1792,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),8,4,16,0,2048,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),9,4,17,0,2304,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),10,4,18,0,2560,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),11,4,19,0,2816,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),12,4,20,0,3072,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),13,4,21,0,3328,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),14,4,22,0,3584,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),15,4,23,0,3840,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),16,4,24,0,4096,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),17,4,25,0,4352,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),18,4,26,0,4608,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),19,4,27,0,4864,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),20,4,28,0,5120,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),21,4,29,0,5376,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),22,4,30,0,5632,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),23,4,31,0,5888,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),24,4,32,0,6144,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),25,4,33,0,6400,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),26,4,34,0,6656,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),27,4,35,0,6912,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),28,4,36,0,7168,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),29,4,37,0,7424,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),30,4,38,0,7680,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3G_test_multichan_2,32x(DL3.4kbps SRBs),31,4,39,0,7936,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3G_test_multichan_3,32x(DL AMR 12.2 kbps),3G_test_multichan_3,32x(DL AMR 12.2 kbps),0,8,4,0,0,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),1,8,5,0,256,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),2,8,6,0,512,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),3,8,7,0,768,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),4,8,8,0,1024,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),5,8,9,0,1280,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),6,8,10,0,1536,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),7,8,11,0,1792,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),8,8,12,0,2048,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),9,8,13,0,2304,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),10,8,14,0,2560,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),11,8,15,0,2816,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),12,8,16,0,3072,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),13,8,17,0,3328,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),14,8,18,0,3584,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),15,8,19,0,3840,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),16,8,20,0,4096,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),17,8,21,0,4352,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),18,8,22,0,4608,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),19,8,23,0,4864,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),20,8,24,0,5120,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),21,8,25,0,5376,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),22,8,26,0,5632,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),23,8,27,0,5888,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),24,8,28,0,6144,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),25,8,29,0,6400,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),26,8,30,0,6656,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),27,8,31,0,6912,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),28,8,32,0,7168,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),29,8,33,0,7424,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),30,8,34,0,7680,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
3,,,3G_test_multichan_3,32x(DL AMR 12.2 kbps),31,8,35,0,7936,0,6,4,3,"1, 1, 1","0, 39, 81","0, 1, 2, 0, 1, 2",81,2,2,1,180,2,"0, 1","103, 103","0, 0, 1, 0, 0, 1",103,2,0,1,170,2,"0, 1","60, 60","0, 0, 1, 0, 0, 1",60,2,0,2,215,2,"1, 1","0, 148","0, 0, 0, 1, 1, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,
10,3G_test_multichan_10,Stand-alone UL:3.4 DL:3.4 kbps SRBs for DCCH,3G_test_multichan_10,Stand-alone UL:3.4 DL:3.4 kbps SRBs for DCCH,0,4,4,0,0,0,2,1,2,"1, 1","0, 148","0, 1",148,3,3,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
